Id,SalePrice
1461,120167.5561
1462,159466.8215
1463,185534.2374
1464,199661.6905
1465,190053.4563
1466,170844.6607
1467,180646.6214
1468,161903.2752
1469,194940.7777
1470,117659.5707
1471,184785.7394
1472,96934.67238
1473,96678.3267
1474,146630.6533
1475,106626.0456
1476,367120.9977
1477,248368.7094
1478,293100.9564
1479,298869.3271
1480,465953.1117
1481,321047.9485
1482,213261.7543
1483,182497.0439
1484,160190.8841
1485,184095.84
1486,196610.1518
1487,318597.4357
1488,236856.3698
1489,197399.875
1490,245538.0184
1491,196028.261
1492,95873.24868
1493,185071.7182
1494,289355.2045
1495,286596.9962
1496,241096.4936
1497,186933.5781
1498,169649.8175
1499,164828.9809
1500,161736.3342
1501,179116.4335
1502,149324.1948
1503,295363.7325
1504,236639.7531
1505,225877.6093
1506,192716.2834
1507,245516.9363
1508,201133.8093
1509,161475.3394
1510,144771.2807
1511,150146.5577
1512,174735.2744
1513,146058.3158
1514,153351.7584
1515,204158.693
1516,155306.0165
1517,179365.506
1518,136496.2333
1519,211333.1253
1520,128567.5586
1521,133607.0622
1522,172533.8515
1523,112531.092
1524,127693.4341
1525,123197.7205
1526,114023.189
1527,106028.0722
1528,139138.0232
1529,153187.4527
1530,193817.0314
1531,115307.4445
1532,98927.74895
1533,152377.52
1534,123789.6621
1535,149670.7735
1536,109348.6743
1537,57870.54343
1538,147487.3832
1539,190474.7995
1540,101047.3169
1541,144869.3797
1542,143202.3058
1543,178227.695
1544,88413.12739
1545,117144.2315
1546,132355.5469
1547,136701.7473
1548,136205.6286
1549,115541.0246
1550,133887.8895
1551,110848.5763
1552,137515.291
1553,145149.7995
1554,122708.6624
1555,165002.3411
1556,91392.87742
1557,113570.7982
1558,101905.5333
1559,58503.88785
1560,133280.4002
1561,121504.2213
1562,127718.2922
1563,118087.2628
1564,156936.2611
1565,150930.1366
1566,237549.4054
1567,77277.30532
1568,224523.9841
1569,132235.5494
1570,138943.4991
1571,117099.0519
1572,145984.5894
1573,250435.2067
1574,118792.8183
1575,224624.5292
1576,243471.5607
1577,183603.5361
1578,152567.2364
1579,144147.6362
1580,189524.2623
1581,161211.633
1582,123163.1325
1583,277797.5823
1584,212570.784
1585,139301.8666
1586,67975.16983
1587,99836.32764
1588,153586.5244
1589,97991.09556
1590,134447.5558
1591,92359.9564
1592,118624.4034
1593,121154.3283
1594,139354.1132
1595,103274.8881
1596,218482.5518
1597,194938.6186
1598,216247.2086
1599,162391.0546
1600,149580.6231
1601,62246.34405
1602,110618.6557
1603,71927.46201
1604,259596.742
1605,232312.0254
1606,170929.3221
1607,177918.9621
1608,212486.1446
1609,186383.744
1610,156103.5185
1611,139161.0221
1612,175743.6666
1613,163076.1062
1614,123929.185
1615,91561.97701
1616,77795.33339
1617,93677.87475
1618,123266.9575
1619,142388.3018
1620,143739.1857
1621,139910.0419
1622,139974.2416
1623,258459.8452
1624,214580.0154
1625,117658.9241
1626,171148.7672
1627,189530.1656
1628,278675.0447
1629,173540.4545
1630,353019.7661
1631,221965.6677
1632,240348.2852
1633,165052.5597
1634,186047.8755
1635,175694.3978
1636,152228.9473
1637,195566.3885
1638,185685.3297
1639,186610.4493
1640,248780.2015
1641,180506.7153
1642,251143.9095
1643,217900.5723
1644,235885.4669
1645,205045.6152
1646,160292.167
1647,159426.5548
1648,129470.0096
1649,138764.634
1650,113500.1964
1651,117592.8463
1652,97969.87841
1653,103706.2783
1654,141598.2338
1655,136509.8894
1656,139738.3393
1657,145674.7595
1658,143449.2426
1659,117109.2716
1660,157456.641
1661,434144.7173
1662,405450.2634
1663,379052.6084
1664,513634.2031
1665,308871.3923
1666,337422.6876
1667,392178.0526
1668,344759.186
1669,309349.3034
1670,353260.3892
1671,262434.8805
1672,406494.7698
1673,283970.2656
1674,237453.4895
1675,206569.3128
1676,204561.0705
1677,228617.3951
1678,442198.3757
1679,392739.4105
1680,332222.0361
1681,256862.6142
1682,317579.7561
1683,191051.7877
1684,180363.8386
1685,179561.9804
1686,167951.7801
1687,170890.0328
1688,191468.5882
1689,195691.9155
1690,197208.1303
1691,185388.688
1692,256919.2382
1693,167129.5258
1694,184083.3185
1695,158890.1194
1696,257385.8002
1697,166252.386
1698,335152.3161
1699,302434.4514
1700,251436.0839
1701,269970.2111
1702,247067.8554
1703,247335.9308
1704,281310.2927
1705,242508.0578
1706,435201.5185
1707,219825.3339
1708,204312.8536
1709,249068.275
1710,215394.6391
1711,270981.6471
1712,253689.9426
1713,283595.0134
1714,231360.5954
1715,211414.8871
1716,182775.0875
1717,171732.907
1718,138191.6482
1719,211742.0316
1720,236481.0727
1721,156476.9819
1722,126168.5795
1723,156276.6227
1724,200965.1932
1725,231231.1152
1726,190477.526
1727,152602.8583
1728,171056.4139
1729,167778.1871
1730,157967.1742
1731,123729.1376
1732,123862.0671
1733,111034.516
1734,117144.209
1735,122291.6261
1736,110727.1146
1737,311295.6399
1738,265383.5573
1739,268976.1819
1740,219566.122
1741,197838.4213
1742,178379.4052
1743,179090.0538
1744,320409.088
1745,209368.6094
1746,190062.2228
1747,216343.8763
1748,222059.7163
1749,150866.8329
1750,134090.4425
1751,247933.5813
1752,118445.0084
1753,152218.789
1754,191045.9702
1755,172722.1979
1756,126206.7949
1757,118572.9177
1758,142249.769
1759,172854.1573
1760,161024.3638
1761,150709.9777
1762,179367.2712
1763,186756.4832
1764,114469.5816
1765,166214.9882
1766,187665.5688
1767,221176.5586
1768,142674.3623
1769,173421.8482
1770,151760.7531
1771,126813.7735
1772,139373.293
1773,130020.417
1774,142872.287
1775,138261.0708
1776,124151.3445
1777,111369.5073
1778,143619.7811
1779,110023.1843
1780,176073.0296
1781,128402.5945
1782,83137.58509
1783,142896.9783
1784,104200.3445
1785,125979.5229
1786,135393.5801
1787,165033.4628
1788,56667.57482
1789,99712.65465
1790,79689.18244
1791,179420.6419
1792,159953.2635
1793,137053.4835
1794,159450.8701
1795,134885.0118
1796,123285.5902
1797,113130.0324
